,song,lyrics
6,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Oh baby, I wanna get witcha"
7,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Has your girlfriend got the butt? (Hell yeah!)
8,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"So, fellas! (Yeah!) Fellas! (Yeah!)"
9,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"They only talk to her, because,"
10,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Even white boys got to shout
11,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',(LA face with Oakland booty)
12,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Now heres my scandal
13,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Shes sweat, wet,"
14,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"out there, I mean - gross. Look!"
15,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',That when a girl walks in with an itty bitty waist
16,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Then turn around! Stick it out!
17,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Cause them punks like to hit it and quit it
18,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Cause you notice that butt was stuffed
19,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',My anaconda dont want none
20,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Sayin flat butts are the thing
21,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And a round thing in your face
22,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',one of those rap guys girlfriends.
23,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',So find that juicy double
24,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And Im thinkin bout stickin
25,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',I aint talkin bout Playboy
26,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',She gotta pack much back
27,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Baby got back!
28,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Give me a sista, I cant resist her"
29,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Knock-kneeded bimbos walkin like hoes
30,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Cause silicone parts are made for toys
31,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Tell em to shake it! (Shake it!) Shake it! (Shake it!)
32,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"to do with my selection. 36-24-36? Ha ha, only if shes 53""."
33,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"So ladies, if the butt is round,"
34,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Cause you aint that average groupy
35,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',You other brothers cant deny
36,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"And ugh, double-up, ugh, ugh"
37,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Some knucklehead tried to dis
38,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"So, ladies! {Yeah!} Ladies! {Yeah}"
39,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Baby got it goin on
40,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',You can have them bimbos
41,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"And you want a triple X throw down,"
42,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Cause Im long, and Im strong"
43,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Mix-a-Lots in trouble
44,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"You aint it, Miss Thing!"
45,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And take your picture
46,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Ive seen them dancin
47,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',But I gotta be straight when I say I wanna *fuck*
48,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Take the average black man and ask him that
49,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Red beans and rice didnt miss her
50,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Til the break of dawn
51,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Well I aint down with that!
52,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"I just cant help myself, Im actin like an animal"
53,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',A lot of simps wont like this song
54,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Cause his girls are on my list
55,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And when Im throwin a gig
56,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Unless youve got buns, hun"
57,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Cause your waist is small and your curves are kickin
58,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',So they toss it and leave it
59,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',So Cosmo says youre fat
60,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Oh, my, god. Becky, look at her butt."
61,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"she looks like a total prostitute, kay?"
62,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Some brothers wanna play that ""hard"" role"
63,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',I want em real thick and juicy
64,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',You say you wanna get in my Benz?
65,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And I pull up quick to get wit em
66,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Shake that healthy butt!
67,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Ooh, Rump-o-smooth-skin"
68,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Deep in the jeans shes wearing
69,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Im hooked and I cant stop staring
70,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And tell you that the butt aint gold
71,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"I like em round, and big"
72,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',I wont cuss or hit ya
73,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Dial 1-900-MIXALOT
74,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',To the beanpole dames in the magazines:
75,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And I pull up quick to retrieve it
76,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',But please dont lose that butt
77,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',If you wanna role in my Mercedes {Yeah!}
78,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',My homeboys tried to warn me
79,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Im tired of magazines
80,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Ill keep my women like Flo Jo
81,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"It is so big. *scoff* She looks like,"
82,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"You get sprung, wanna pull out your tough"
83,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"A word to the thick soul sistas, I wanna get with ya"
84,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',But with that butt you got makes me feel so horny
85,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"I cant believe its just so round, its like,"
86,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Yeah, baby ... when it comes to females, Cosmo aint got nothin"
87,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',The hell with romancin
88,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',(Little in the middle but she got much back)
89,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',But Fonda aint got a motor in the back of her Honda
90,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"But, yknow, who understands those rap guys? *scoff*"
91,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And Id rather stay and play
92,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',So Im lookin at rock videos
93,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',I like big butts and I can not lie
94,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',And Im down to get the friction on
95,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"You can do side bends or sit-ups,"
96,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"I mean, her butt, is just so big. *scoff*"
97,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',"Well, use me, use me"
98,b'SIR MIX-A-LOT - BABY GOT BACK LYRICS',Got it goin like a turbo Vette
0,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',But while yall washing watch him
1,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',She walking around looking like Michael with your money
2,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',And on the 18th birthday he found out it wasnt his?!
3,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',He got that ambition baby look in his eyes
4,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"I dont care what none of yall say, I still love her"
5,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',She went to the doctor got lipo with your money
6,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"(I gotta leave) Get down girl, go head, get down"
7,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',(When Im in need) But she aint messing with no broke niggas
8,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',Lemme hear that back
9,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',With a baby Louis Vuitton under her underarm
10,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Now I aint saying you a gold digger, you got needs"
11,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"I pulled up in the Benz, they all got up in"
12,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"She take my money, when Im in need"
13,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"She said I can tell you rock, I can tell by your charm"
14,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"""We want prenup!"" (Yeah!)"
15,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',And when you get on he leave your ass for a white girl
16,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Far as girls you got a flock, I can tell by your charm and your arm"
17,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',He gone make it into a Benz out of that Datsun
18,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"18 years, 18 years"
19,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',My psychic told me shell have a ass like Serena
20,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',You will see him on TV any given Sunday
21,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',From what I heard she got a baby by Busta
22,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"You go out to eat and he cant pay, yall cant leave"
23,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"But Im looking for the one, have you seen her?"
24,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',Cause when she leave your ass she gonna leave with half
25,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Cutie the bomb, met her at a beauty salon"
26,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',(She give me money) Now I aint saying she a gold digger
27,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',Win the Super Bowl and drive off in a Hyundai
28,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',And I gotta take all they bad asses to showbiz?
29,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',I know theres dudes balling and yeah thats nice
30,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Theres dishes in the back, he gotta roll up ya sleeves"
31,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',Yeah shes a triflin friend indeed
32,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Ok, get your kids but then they got their friends"
33,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',That digs on me
34,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"She got one of your kids, got you for 18 years"
35,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Shouldve got that insured, Geico for your money"
36,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',If you fucking with this girl then you better be paid
37,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Trina, Jennifer Lopez, four kids"
38,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',His baby mommas car and crib is bigger than his
39,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',You dont want a dude to smoke but he cant buy weed
40,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',We all went to din and then I had to pay
41,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"Oh, shes a gold digger, way over town"
42,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',I know somebody paying child support for one of his kids
43,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',My best friend say she use to fuck with Usher
44,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',Its something that you need to have
45,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',This week he mopping floors next week its the fries
46,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',She was supposed to buy your shorty Tyco with your money
47,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',So stick by his side
48,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',"If you aint no punk, holla, ""We want prenup!"""
49,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',And they gonna keep calling and trying but you stay right girl
50,b'KANYE WEST FEAT. JAMIE FOXX - GOLD DIGGER LYRICS',You know why? It take too much to touch her
0,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',The life and times of Shawn Carter
1,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',Its the hard knock life
2,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',And sip the cris and get pissy pissy
3,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Yall volume 2, sing"
4,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Where all my brothers with the rubber grips, bust shots"
5,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',For droppin some of the hottest verses rap has ever heard
6,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Lets stick up the world and split it fifty-fifty, uh huh"
7,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Let outsiders violate our blocks, and my plot"
8,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Flow infinitely like the memory of my homie biggie, baby"
9,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Im from the school of the hard knocks, we must not"
10,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Fleein the murder scene, you know me well"
11,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"From nightmares of a lonely cell, my only hell"
12,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',From standin on the corners boppin
13,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Its the hard knock life, for us"
14,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',But since when yall know me to fail? Uh huh
15,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"From the dope spot, with the smoke glock"
16,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"And if you with me mom I rub on your tits, and what not"
17,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Steada kisses, we get kicked"
18,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Lets take the dough and stay real jiggy, uh huh"
19,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',To drivin some of the hottest cars New York has ever seen
20,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',"Steada treated, we get tricked"
21,b'JAY-Z - HARD KNOCK LIFE (GHETTO ANTHEM) LYRICS',You know its hell when I come through
0,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',So I got with a sick ass click and went all out
1,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Its been twenty-two long hard years of still strugglin
2,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Started smokin woolies at sixteen
3,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Though I dont know why I chose to smoke sess
4,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Ch-chick-POW! Wu from the gate now
5,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Survival got me buggin, but Im alive on arrival"
6,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"And that one, pullin out gats for fun"
7,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"(Dolla dolla bill yall) Check this shit, yo!"
8,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Yeah, check this ol fly shit out"
9,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',And stay awake to the ways of the world cause shit is deep
10,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"I grew up on the crime side, the New York Times side"
11,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Pacin going up states my destination
12,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Living in the world no different from a cell
13,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Catchin keys from across seas
14,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',C.R.E.A.M.
15,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Leave it up to me while I be living proof
16,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"At second hands, moms bounced on old men"
17,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',(Cash Rules Everything Around Me
18,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Neglected, but now, but yo, it gots to be accepted"
19,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Rollin in MPVs, every week we made forty Gs"
20,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Know what Im sayin?
21,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Times is ruff and tuff like leather
22,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',A young buck sellin drugs and such who never had much
23,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',(C.R.E.A.M. get the money) Here we here we go
24,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"No question I would speed, for cracks and weed"
25,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"The court played me short, now I face incarceration"
26,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Handcuffed in back of a bus, forty of us"
27,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',I guess thats the time when Im not depressed
28,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"My life got no better, same damn Lo sweater"
29,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Which failed I went to jail at the age of 15
30,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Cash, Rules, Everything, Around, Me"
31,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',C.R.E.A.M. get)
32,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Figured out I went the wrong route
33,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Only way, I begin to gee off was drug loot"
34,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Yo nigga respect mine, or anger the tech nine"
35,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Smokin bones in the staircase
36,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',That what? That life is hectic
37,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Staying alive was no jive
38,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Trying to get a clutch at what I could not, could not,"
39,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"But it was just a dream for the teen, who was a fiend"
40,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',What that nigga want God?
41,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Sticking up white boys in ball courts
42,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Everyday I escape from Jakes givin chase, sellin base"
43,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',A man with a dream with plans to make C.R.E.A.M.
44,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Who explained working hard may help you maintain
45,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',But shortys running wild smokin sess drinkin beer
46,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',To learn to overcome the heartaches and pain
47,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Word up, look out for the cops (Wu-Tang five finger shit)"
48,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Ready to give up so I seek the Old Earth
49,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Word up
50,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',(Cash Rules Everything Around Me) Take you on a natural joint
51,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Word up, two for fives them niggas got garbage down the way, word up"
52,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"And lets start it like this son, rollin with this one"
53,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"And stray shots, all on the block that stays hot"
54,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Get the money
55,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"We got stickup kids, corrupt cops, and crack rocks"
56,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"(Cash Rules) Word up, two for fives over here baby"
57,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',So then we moved to Shaolin land
58,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"No question I would flow off, and try to get the dough all"
59,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Life as a shorty shouldnt be so ruff
60,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',But as the world turns I learned life is hell
61,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"But Im still depressed, and I ask whats it worth?"
62,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"Dollar, dollar bill yall"
63,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',Making my way on fire escapes
64,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',And aint trying to hear what Im kickin in his ear
65,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',I peep at the shape of the streets
66,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',To kick the truth to the young black youth
67,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"And running up in gates, and doing hits for high stakes"
68,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',The combination made my eyes bleed
69,b'WU-TANG CLAN - C.R.E.A.M. LYRICS',"A young youth, yo rockin the gold tooth, Lo goose"
0,b'EMINEM - STAN LYRICS',We waited in the blistering cold for you
1,b'EMINEM - STAN LYRICS',Ya dare me to drive?
2,b'EMINEM - STAN LYRICS',"For 4 hours and you just said ""No"""
3,b'EMINEM - STAN LYRICS',I can relate to what youre sayin in your songs
4,b'EMINEM - STAN LYRICS',I just dont want you to do some crazy shit
5,b'EMINEM - STAN LYRICS',Hit me back just to chat
6,b'EMINEM - STAN LYRICS',I hope you get to read this letter
7,b'EMINEM - STAN LYRICS',Im in the car right now
8,b'EMINEM - STAN LYRICS',Look Im really flattered
9,b'EMINEM - STAN LYRICS',I hope you hear it
10,b'EMINEM - STAN LYRICS',So when I have a shitty day
11,b'EMINEM - STAN LYRICS',"But didnt, then Phil saw it all"
12,b'EMINEM - STAN LYRICS',She dont know what it was like?
13,b'EMINEM - STAN LYRICS',"Truly yours, your biggest fan"
14,b'EMINEM - STAN LYRICS',You got some issues Stan
15,b'EMINEM - STAN LYRICS',This is Stan
16,b'EMINEM - STAN LYRICS',He wants to be just like you man
17,b'EMINEM - STAN LYRICS',See everything you say is real
18,b'EMINEM - STAN LYRICS',And all I wanted was a lousy letter or a call
19,b'EMINEM - STAN LYRICS',"See Slim, ""Shut up bitch!"
20,b'EMINEM - STAN LYRICS',"If I have a daughter, guess what Im a call her?"
21,b'EMINEM - STAN LYRICS',"But Stan, why are you so mad?"
22,b'EMINEM - STAN LYRICS',And heres an autograph for your brother
23,b'EMINEM - STAN LYRICS',And whats this shit you said about
24,b'EMINEM - STAN LYRICS',Come to think about it
25,b'EMINEM - STAN LYRICS',I wrote it on your starter cap
26,b'EMINEM - STAN LYRICS',Too sloppy when I jot em
27,b'EMINEM - STAN LYRICS',"Dear Slim, I wrote you but you still aint callin"
28,b'EMINEM - STAN LYRICS',But it didnt say who it was to?
29,b'EMINEM - STAN LYRICS',Now its too late
30,b'EMINEM - STAN LYRICS',How am I supposed to send this shit out?
31,b'EMINEM - STAN LYRICS',I hope your conscious eats at you
32,b'EMINEM - STAN LYRICS',And you scream about it
33,b'EMINEM - STAN LYRICS',I just hope it reaches you in time
34,b'EMINEM - STAN LYRICS',Hes only 6 years old
35,b'EMINEM - STAN LYRICS',"I hope you have the chance, I aint mad"
36,b'EMINEM - STAN LYRICS',Youre like his fuckin idol
37,b'EMINEM - STAN LYRICS',About that guy who could have saved
38,b'EMINEM - STAN LYRICS',"Dear Slim, you still aint called or wrote"
39,b'EMINEM - STAN LYRICS',I drift away and put em on
40,b'EMINEM - STAN LYRICS',Im a name her Bonnie
41,b'EMINEM - STAN LYRICS',To meet each other
42,b'EMINEM - STAN LYRICS',And she was pregnant with his kid
43,b'EMINEM - STAN LYRICS',How far along is she?
44,b'EMINEM - STAN LYRICS',Im glad I inspire you
45,b'EMINEM - STAN LYRICS',"Whats been up man, hows your daughter?"
46,b'EMINEM - STAN LYRICS',I say that shit just clownin dawg
47,b'EMINEM - STAN LYRICS',I know you probably hear this everyday
48,b'EMINEM - STAN LYRICS',"I know you Slim, no one does"
49,b'EMINEM - STAN LYRICS',I like the shit you did with Ruckus too
50,b'EMINEM - STAN LYRICS',Before you hurt yourself
51,b'EMINEM - STAN LYRICS',Youve gotta call me man
52,b'EMINEM - STAN LYRICS',Ill be the biggest fan youll ever lose
53,b'EMINEM - STAN LYRICS',I even got the underground shit that you did with scam
54,b'EMINEM - STAN LYRICS',"Anyways I hope you get this, man"
55,b'EMINEM - STAN LYRICS',Then at his show he found him
56,b'EMINEM - STAN LYRICS',And whats this shit about us
57,b'EMINEM - STAN LYRICS',And your pictures man
58,b'EMINEM - STAN LYRICS',Its like Adrenaline
59,b'EMINEM - STAN LYRICS',I ripped all  your pictures off the wall
60,b'EMINEM - STAN LYRICS',To see how much it bleeds?
61,b'EMINEM - STAN LYRICS',Thisll be the last package I ever send your ass
62,b'EMINEM - STAN LYRICS',But your picture on my wall
63,b'EMINEM - STAN LYRICS',Its not so bad
64,b'EMINEM - STAN LYRICS',And then shell die too
65,b'EMINEM - STAN LYRICS',Got out of bed at all
